,gameID,teamID,total_rush,total_pass,total_punt,total_ko,total_pat,total plays,,,,,,,
442,GT112517,UGA,43,17,2,6,5,73,,,,,,,
443,GT112517,GT,46,9,5,2,1,63,,,,,,,
444,GT090118,ALCN,28,23,9,1,0,61,,,,,,,
445,GT090118,GT,54,18,1,7,6,86,,,,,,,
446,GT090818,GT,57,18,2,7,5,89,,,,,,,
447,GT090818,USF,44,31,3,8,7,93,,,,,,,
448,GT091518,GT,56,15,4,3,2,80,,,,,,,
449,GT091518,UP,31,23,6,5,3,68,,,,,,,
450,GT092218,CU,36,30,3,8,7,84,,,,,,,
451,GT092218,GT,56,8,6,4,3,77,,,,,,,
452,GT102518,GT,78,1,2,8,7,96,,,,,,,
453,GT102518,VT,25,22,4,5,4,60,,,,,,,
454,GT110318,GT,74,2,1,7,5,89,,,,,,,
455,GT110318,NC,36,31,3,6,2,78,,,,,,,
456,GT111018,UM,30,23,4,4,3,64,,,,,,,
457,GT111018,GT,53,4,3,6,3,69,,,,,,,
458,GT111718,VA,33,28,2,7,3,73,,,,,,,
459,GT111718,GT,52,8,3,6,0,69,,,,,,,
460,GT112418,GT,46,14,4,4,3,71,,,,,,,
461,GT112418,UGA,42,19,1,7,6,75,,,,,,,
462,GT122618,MINN,43,13,0,7,4,67,,,,,,,
463,GT122618,GT,44,12,4,2,1,63,,,,,,,
464,GT082919,GT,45,18,8,3,2,76,,,,,,,
465,GT082919,CU,49,30,3,9,7,98,,,,,,,
466,GT090719,USF,30,25,7,3,1,66,,,,,,,
467,GT090719,GT,49,21,6,3,2,81,,,,,,,
468,GT091419,CIT,71,4,3,5,3,86,,,,,,,
469,GT091419,GT,33,13,4,4,2,56,,,,,,,
470,GT092819,GT,35,35,6,1,0,77,,,,,,,
471,GT092819,TEM,49,22,4,6,3,84,,,,,,,
472,GT100519,NC,46,51,4,7,5,113,,,,,,,
473,GT100519,GT,29,24,7,3,2,65,,,,,,,
474,GT101219,GT,40,35,6,5,2,88,,,,,,,
475,GT101219,DU,55,20,5,8,5,93,,,,,,,
476,GT101919,GT,45,19,6,4,4,78,,,,,,,
477,GT101919,UM,32,31,3,4,3,73,,,,,,,
478,GT110219,UP,36,34,4,5,2,81,,,,,,,
479,GT110219,GT,29,21,8,3,1,62,,,,,,,
480,GT110919,GT,32,22,4,5,4,67,,,,,,,
481,GT110919,VA,37,35,3,7,3,85,,,,,,,
482,GT111619,VT,45,16,4,8,6,79,,,,,,,
483,GT111619,GT,31,25,9,0,0,65,,,,,,,
484,GT112119,ST,49,31,3,6,2,91,,,,,,,
485,GT112119,GT,43,15,4,5,4,71,,,,,,,
486,GT113019,UGA,40,32,4,9,7,92,,,,,,,
487,GT113019,GT,37,21,13,1,1,73,,,,,,,
488,GT091220,GT,40,34,3,4,2,83,,,,,,,
489,GT091220,FSU,35,45,3,4,1,88,,,,,,,
490,GT091920,UCF,51,41,3,8,7,110,,,,,,,
491,GT091920,GT,44,37,4,3,3,91,,,,,,,
492,GT092620,GT,52,32,7,4,2,97,,,,,,,
493,GT092620,SU,41,24,6,7,5,83,,,,,,,
494,GT100920,LOU,48,33,4,5,3,93,,,,,,,
495,GT100920,GT,34,22,5,8,5,74,,,,,,,
496,GT101720,CU,39,49,4,12,10,114,,,,,,,
497,GT101720,GT,44,14,9,2,1,70,,,,,,,
498,GT102420,GT,33,32,4,4,4,77,,,,,,,
499,GT102420,BC,44,21,3,9,6,83,,,,,,,
500,GT103120,ND,44,26,3,6,4,83,,,,,,,
501,GT103120,GT,33,26,4,2,1,66,,,,,,,
502,GT112820,DU,40,47,6,6,4,103,,,,,,,
503,GT112820,GT,48,23,3,10,8,92,,,,,,,
504,GT120520,GT,51,27,4,4,1,87,,,,,,,
505,GT120520,ST,32,36,3,6,2,79,,,,,,,
506,GT121020,UP,54,34,2,8,2,100,,,,,,,
507,GT121020,GT,29,36,5,4,2,76,,,,,,,
508,GT090821,HUSKIES,42,17,7,4,2,72,,,,,,,
509,GT090821,GT,51,27,3,4,3,88,,,,,,,
510,GT091121,KSU,43,20,7,3,2,75,,,,,,,
511,GT091121,GT,36,23,3,8,6,76,,,,,,,
512,GT091821,GT,38,34,7,1,0,80,,,,,,,
513,GT091821,CLEMSON,41,25,4,4,2,76,,,,,,,
514,GT092521,UNC,35,39,4,4,2,84,,,,,,,
515,GT092521,GT,43,19,4,9,4,79,,,,,,,
516,GT100221,PITT,41,37,4,9,7,98,,,,,,,
517,GT100221,GT,31,33,4,4,3,75,,,,,,,
518,GT100921,GT,39,25,6,6,4,80,,,,,,,
519,GT100921,DUKE,62,29,5,6,3,105,,,,,,,
520,GT102321,GT,34,44,4,6,3,91,,,,,,,
521,GT102321,UVA,30,43,2,9,6,90,,,,,,,
