"ID";"Down";"ToGo";"Spot";"Text";"Quarter";"GameID";"PlayNum";"PlayID";"HasBall";"Type";"active";"Clock"
"16291";"1";"10";"H25";"1st & 10 at GT25: PENALTY DUKE unsportsmanlike conduct (Zane Zandier) 15 yards to the GT40, 1ST DOWN GT.";"2";"6019";"92";"9,3,92";"H";"E";"ACTIVE";
"16292";"1";"10";"H40";"1st & 10 at GT40: TaQuon Marshall sacked for loss of 7 yards to the GT33 (Tommy Christ).";"2";"6019";"93";"9,4,93";"H";"P";"ACTIVE";
"16293";"2";"17";"H33";"2nd & 17 at GT33: TaQuon Marshall rush for 6 yards to the GT39 (Jordan Mack).";"2";"6019";"94";"9,5,94";"H";"R";"ACTIVE";
"16294";"3";"11";"H39";"3rd & 11 at GT39: TaQuon Marshall pass incomplete to Brad Stewart (Bryce Hall).";"2";"6019";"95";"9,6,95";"H";"P";"ACTIVE";
"16295";"4";"11";"H39";"4th & 11 at GT39: Pressley Harvin III punt 46 yards to the DUKE15, Chuck Davis return 1 yards to the DUKE16 (Jaytlin Askew;Kaleb Oliver).";"2";"6019";"96";"9,7,96";"H";"U";"ACTIVE";
"16296";"1";"10";"V16";"1st & 10 at DUKE16: VIRGINIA drive start at 01:37.";"2";"6019";"97";"10,1,97";"V";;"ACTIVE";
"16297";"1";"10";"V16";"1st & 10 at DUKE16: Bryce Perkins rush for 6 yards to the DUKE22 (Charlie Thomas).";"2";"6019";"98";"10,2,98";"V";"R";"ACTIVE";
"16298";"2";"4";"V22";"2nd & 4 at DUKE22: Jordan Ellis rush for 4 yards to the DUKE26, 1ST DOWN DUKE (Anree Saint-Amour;Malik Rivera).";"2";"6019";"99";"10,3,99";"V";"R";"ACTIVE";
"16299";"1";"10";"V26";"1st & 10 at DUKE26: Jordan Ellis rush for 2 yards to the DUKE28 (Jalen Johnson).";"2";"6019";"100";"10,4,100";"V";"R";"ACTIVE";
"16300";"2";"8";"V28";"2nd & 8 at DUKE28: End of half, clock 00:00.";"2";"6019";"101";"10,5,101";"V";"#";"ACTIVE";
"16301";"2";"8";"V28";"2nd & 8 at DUKE28: Start of 3rd quarter, clock 15:00, GT ball on GT35.";"3";"6019";"102";"10,6,102";"V";"#";"ACTIVE";
"16302";"2";"8";"H35";"2nd & 8 at GT35: Shawn Davis kickoff 64 yards to the DUKE1, Joe Reed return 32 yards to the DUKE33 (Juanyeh Thomas).";"3";"6019";"103";"10,7,103";"H";"K";"ACTIVE";
"16303";"1";"10";"V33";"1st & 10 at DUKE33: VIRGINIA drive start at 14:48.";"3";"6019";"104";"11,1,104";"V";;"ACTIVE";
"16304";"1";"10";"V33";"1st & 10 at DUKE33: Bryce Perkins pass complete to Olamide Zaccheaus for 3 yards to the DUKE36 (Tre Swilling;Tariq Carpenter).";"3";"6019";"105";"11,2,105";"V";"P";"ACTIVE";
"16305";"2";"7";"V36";"2nd & 7 at DUKE36: PENALTY DUKE false start 5 yards to the DUKE31.";"3";"6019";"106";"11,3,106";"V";"E";"ACTIVE";
"16306";"2";"12";"V31";"2nd & 12 at DUKE31: Bryce Perkins pass incomplete to Hasise Dubois (Tre Swilling).";"3";"6019";"107";"11,4,107";"V";"P";"ACTIVE";
"16307";"3";"12";"V31";"3rd & 12 at DUKE31: Bryce Perkins pass incomplete to Evan Butts (Malik Rivera).";"3";"6019";"108";"11,5,108";"V";"P";"ACTIVE";
"16308";"4";"12";"V31";"4th & 12 at DUKE31: Lester Coleman punt 43 yards to the GT26, downed.";"3";"6019";"109";"11,6,109";"V";"U";"ACTIVE";
"16309";"1";"10";"H26";"1st & 10 at GT26: GEORGIA TECH drive start at 13:51.";"3";"6019";"110";"12,1,110";"H";;"ACTIVE";
"16310";"1";"10";"H26";"1st & 10 at GT26: TaQuon Marshall rush for no gain to the GT26.";"3";"6019";"111";"12,2,111";"H";"R";"ACTIVE";
"16311";"2";"10";"H26";"2nd & 10 at GT26: TaQuon Marshall rush for 30 yards to the DUKE44, 1ST DOWN GT (Bryce Hall).";"3";"6019";"112";"12,3,112";"H";"R";"ACTIVE";
"16312";"1";"10";"V44";"1st & 10 at DUKE44: Tobias Oliver at QB for Georgia Tech.";"3";"6019";"113";"12,4,113";"H";;"ACTIVE";
"16313";"1";"10";"V44";"1st & 10 at DUKE44: Jerry Howard rush for 4 yards to the DUKE40 (Dylan Thompson;Robert Snyder).";"3";"6019";"114";"12,5,114";"H";"R";"ACTIVE";
"16314";"2";"6";"V40";"2nd & 6 at DUKE40: Jerry Howard rush for 5 yards to the DUKE35 (Robert Snyder).";"3";"6019";"115";"12,6,115";"H";"R";"ACTIVE";
"16315";"3";"1";"V35";"3rd & 1 at DUKE35: Jerry Howard rush for 7 yards to the DUKE28, 1ST DOWN GT (Robert Snyder;Brenton Nelson).";"3";"6019";"116";"12,7,116";"H";"R";"ACTIVE";
"16316";"1";"10";"V28";"1st & 10 at DUKE28: Tobias Oliver rush for 1 yard to the DUKE27 (Eli Hanback).";"3";"6019";"117";"12,8,117";"H";"R";"ACTIVE";
"16317";"2";"9";"V27";"2nd & 9 at DUKE27: Clinton Lynch rush for 2 yards to the DUKE25 (Juan Thornhill;Brenton Nelson).";"3";"6019";"118";"12,9,118";"H";"R";"ACTIVE";
"16318";"3";"7";"V25";"3rd & 7 at DUKE25: Tobias Oliver rush for 6 yards to the DUKE19 (Dylan Thompson).";"3";"6019";"119";"12,10,119";"H";"R";"ACTIVE";
"16319";"4";"1";"V19";"4th & 1 at DUKE19: Tobias Oliver rush for no gain to the DUKE19 (Chris Peace;Robert Snyder).";"3";"6019";"120";"12,11,120";"H";"R";"ACTIVE";
"16320";"1";"10";"V19";"1st & 10 at DUKE19: VIRGINIA drive start at 09:06.";"3";"6019";"121";"13,1,121";"V";;"ACTIVE";
"16321";"1";"10";"V19";"1st & 10 at DUKE19: Jordan Ellis rush for 4 yards to the DUKE23 (Desmond Branch).";"3";"6019";"122";"13,2,122";"V";"R";"ACTIVE";
"16322";"2";"6";"V23";"2nd & 6 at DUKE23: Jordan Ellis rush for 2 yards to the DUKE25 (Desmond Branch).";"3";"6019";"123";"13,3,123";"V";"R";"ACTIVE";
"16323";"3";"4";"V25";"3rd & 4 at DUKE25: Bryce Perkins pass complete to Olamide Zaccheaus for 18 yards to the DUKE43, 1ST DOWN DUKE (Jalen Johnson).";"3";"6019";"124";"13,4,124";"V";"P";"ACTIVE";
"16324";"1";"10";"V43";"1st & 10 at DUKE43: Bryce Perkins pass incomplete to Olamide Zaccheaus, QB hurry by Anree Saint-Amour.";"3";"6019";"125";"13,5,125";"V";"P";"ACTIVE";
"16325";"2";"10";"V43";"2nd & 10 at DUKE43: Jordan Ellis rush for 2 yards to the DUKE45 (Charlie Thomas), PENALTY DUKE holding (Jake Fieler) 10 yards to the DUKE33, NO PLAY.";"3";"6019";"126";"13,6,126";"V";"E";"ACTIVE";
"16326";"2";"20";"V33";"2nd & 20 at DUKE33: Bryce Perkins sacked for loss of 12 yards to the DUKE21 (Jalen Johnson).";"3";"6019";"127";"13,7,127";"V";"P";"ACTIVE";
"16327";"3";"32";"V21";"3rd & 32 at DUKE21: Timeout Virginia, clock 05:59.";"3";"6019";"128";"13,8,128";"V";"#";"ACTIVE";
"16328";"3";"32";"V21";"3rd & 32 at DUKE21: Bryce Perkins pass complete to Olamide Zaccheaus for 17 yards to the DUKE38 (Jalen Johnson).";"3";"6019";"129";"13,9,129";"V";"P";"ACTIVE";
"16329";"4";"15";"V38";"4th & 15 at DUKE38: Lester Coleman punt 47 yards to the GT15, Juanyeh Thomas return 0 yards to the GT15 (Olamide Zaccheaus).";"3";"6019";"130";"13,10,130";"V";"U";"ACTIVE";
"16330";"1";"10";"H15";"1st & 10 at GT15: GEORGIA TECH drive start at 05:13.";"3";"6019";"131";"14,1,131";"H";;"ACTIVE";
"16331";"1";"10";"H15";"1st & 10 at GT15: TaQuon Marshall at QB for Georgia Tech.";"3";"6019";"132";"14,2,132";"H";;"ACTIVE";
"16332";"1";"10";"H15";"1st & 10 at GT15: TaQuon Marshall rush for 3 yards to the GT18 (Aaron Faumui).";"3";"6019";"133";"14,3,133";"H";"R";"ACTIVE";
"16333";"2";"7";"H18";"2nd & 7 at GT18: TaQuon Marshall rush for 1 yard to the GT19 (Eli Hanback).";"3";"6019";"134";"14,4,134";"H";"R";"ACTIVE";
"16334";"3";"6";"H19";"3rd & 6 at GT19: Jalen Camp rush for 3 yards to the GT22 (Bryce Hall;Juan Thornhill).";"3";"6019";"135";"14,5,135";"H";"R";"ACTIVE";
"16335";"4";"3";"H22";"4th & 3 at GT22: Pressley Harvin III punt 37 yards to the DUKE41, Darrius Bratton return 0 yards to the DUKE41, fumble by Darrius Bratton recovered by GT Victor Alexander at DUKE41.";"3";"6019";"136";"14,6,136";"H";"U";"ACTIVE";
"16336";"1";"10";"V41";"1st & 10 at DUKE41: GEORGIA TECH drive start at 03:11.";"3";"6019";"137";"16,1,137";"H";;"ACTIVE";
"16337";"1";"10";"V41";"1st & 10 at DUKE41: TaQuon Marshall rush for 3 yards to the DUKE38 (Dylan Thompson).";"3";"6019";"140";"16,2,140";"H";"R";"ACTIVE";
"16338";"2";"7";"V38";"2nd & 7 at DUKE38: Nathan Cottrell rush for 5 yards to the DUKE33 (Chris Peace).";"3";"6019";"141";"16,3,141";"H";"R";"ACTIVE";
"16339";"3";"2";"V33";"3rd & 2 at DUKE33: Jerry Howard rush for 4 yards to the DUKE29, 1ST DOWN GT (Tommy Christ;Jordan Mack).";"3";"6019";"142";"16,4,142";"H";"R";"ACTIVE";
"16340";"1";"10";"V29";"1st & 10 at DUKE29: TaQuon Marshall rush for 4 yards to the DUKE25 (Jordan Mack;Robert Snyder).";"3";"6019";"143";"16,5,143";"H";"R";"ACTIVE";
"16341";"2";"6";"V25";"2nd & 6 at DUKE25: Jerry Howard rush for 3 yards to the DUKE22 (Robert Snyder).";"3";"6019";"144";"16,6,144";"H";"R";"ACTIVE";
"16342";"3";"3";"V22";"3rd & 3 at DUKE22: Nathan Cottrell rush for 5 yards to the DUKE17, 1ST DOWN GT (Robert Snyder;Bryce Hall).";"3";"6019";"145";"16,7,145";"H";"R";"ACTIVE";
"16343";"1";"10";"V17";"1st & 10 at DUKE17: Start of 4th quarter, clock 15:00.";"4";"6019";"146";"16,8,146";"H";"#";"ACTIVE";
"16344";"1";"10";"V17";"1st & 10 at DUKE17: Clinton Lynch rush for 3 yards to the DUKE14 (Tim Harris;Juan Thornhill).";"4";"6019";"147";"16,9,147";"H";"R";"ACTIVE";
"16345";"2";"7";"V14";"2nd & 7 at DUKE14: Jerry Howard rush for 6 yards to the DUKE8 (Eli Hanback).";"4";"6019";"148";"16,10,148";"H";"R";"ACTIVE";
"16346";"3";"1";"V08";"3rd & 1 at DUKE08: Clinton Lynch rush for 4 yards to the DUKE4, 1ST DOWN GT (Robert Snyder).";"4";"6019";"149";"16,11,149";"H";"R";"ACTIVE";
"16347";"1";"0";"V04";"1st & GOAL at DUKE04: Jerry Howard rush for 1 yard to the DUKE3 (Jordan Mack;Dylan Thompson).";"4";"6019";"150";"16,12,150";"H";"R";"INACTIVE";"15:00"
"16348";"1";"0";"V04";"1st & GOAL at DUKE04: Jerry Howard rush for 1 yard to the DUKE3 (Jordan Mack;Dylan Thompson).";"4";"6019";"150";"16,12,150";"H";"R";"ACTIVE";
"16349";"2";"0";"V03";"2nd & GOAL at DUKE03: Jerry Howard rush for 3 yards to the DUKE0, TOUCHDOWN, clock 12:30.";"4";"6019";"151";"16,13,151";"H";"R";"ACTIVE";
"16350";"1";"0";"V03";"1st & GOAL at DUKE03: Clinton Lynch rush attempt good.";"4";"6019";"152";"16,14,152";"H";"X";"ACTIVE";
